bank_transaction_id,ground_truth_ledger_id
bank_0,ledger_0
bank_1,ledger_1
bank_2,ledger_2
bank_3,ledger_3
bank_4,ledger_4
bank_5,ledger_5
bank_6,ledger_6
bank_7,ledger_7
bank_8,ledger_8
bank_9,ledger_9
bank_10,ledger_10
bank_11,ledger_11
bank_12,ledger_12
bank_13,ledger_13
bank_14,ledger_14
bank_15,ledger_15
bank_16,ledger_16
bank_17,ledger_17
bank_18,ledger_18
bank_19,ledger_19
bank_20,ledger_20
bank_21,ledger_21
bank_22,ledger_22
bank_23,ledger_23
bank_24,ledger_24
bank_25,ledger_25
bank_26,ledger_26
bank_27,ledger_27
bank_28,ledger_28
bank_29,ledger_29
bank_30,ledger_30
bank_31,ledger_31
bank_32,ledger_32
bank_33,ledger_33
bank_34,ledger_34
bank_35,ledger_35
bank_36,ledger_36
bank_37,ledger_37
bank_38,ledger_38
bank_39,ledger_39
bank_40,ledger_40
bank_41,ledger_41
bank_42,ledger_42
bank_43,ledger_43
bank_44,ledger_44
bank_45,ledger_45
bank_46,ledger_46
bank_47,ledger_47
bank_48,ledger_48
bank_49,ledger_49
bank_50,ledger_50
bank_51,ledger_51
bank_52,ledger_52
bank_53,ledger_53
bank_54,ledger_54
bank_55,ledger_55
bank_56,ledger_56
bank_57,ledger_57
bank_58,ledger_58
bank_59,ledger_59
bank_60,ledger_60
bank_61,ledger_61
bank_62,ledger_62
bank_63,ledger_63
bank_64,ledger_64
bank_65,ledger_65
bank_66,ledger_66
bank_67,ledger_67
bank_68,NO_MATCH
bank_69,NO_MATCH
bank_70,NO_MATCH
bank_71,NO_MATCH
bank_72,NO_MATCH
bank_73,NO_MATCH
bank_74,NO_MATCH
bank_75,NO_MATCH
bank_76,ledger_72
bank_77,NO_MATCH
bank_78,ledger_73
bank_79,NO_MATCH
bank_80,ledger_74
bank_81,NO_MATCH
bank_82,ledger_75
bank_83,NO_MATCH
bank_84,ledger_76
bank_85,NO_MATCH
bank_86,NO_MATCH
bank_87,NO_MATCH
bank_88,NO_MATCH
bank_89,NO_MATCH
bank_90,NO_MATCH
bank_91,NO_MATCH
bank_92,NO_MATCH
bank_93,NO_MATCH
bank_94,NO_MATCH
bank_95,NO_MATCH
bank_96,NO_MATCH
bank_97,NO_MATCH
