Date,Amount,Invoice_Number,Vendor_Name
2025-01-03,13826.26,INV2001,KUMAR AND SONS
2025-01-04,22450.00,INV2002,GUPTA ENTERPRISES PVT LTD
2025-01-05,15000.00,INV2003,SHARMA TRADERS
2025-01-06,8999.00,INV2004,VERMA TEXTILE LTD
2025-01-07,31200.50,INV2005,RELIANCE DISTRIBUTORS
2025-01-08,4520.00,INV2006,SINGH HARDWARE
2025-01-09,40363.72,INV2007,PATEL LOGISTICS PVT LTD
2025-01-10,12800.00,INV2008,MEHTA PACKAGING
2025-01-11,20142.64,INV2009,NAIR ELECTRICALS AND CO
2025-01-12,3281.28,INV2010,IYER CONSULTING
2025-01-13,17650.00,INV2011,BOSE STATIONERY
2025-01-14,29900.00,INV2012,DAS FREIGHT
2025-01-15,3141.05,INV2013,RAO CHEMICALS
2025-01-16,13765.26,INV2014,JOSHI FURNITURE
2025-01-17,29945.03,INV2015,KHAN AUTOPARTS PVT LTD
2025-01-18,25432.48,INV2016,CHATTERJEE PRINTHOUSE
2025-01-19,18700.00,INV2017,REDDY SOFTWARE SOLN
2025-01-20,9450.00,INV2018,MALHOTRA COLDSTORAGE
2025-01-21,33200.00,INV2019,YADAV CEMENT SUPPLY CO
2025-01-22,27650.00,INV2020,AGARWAL STEEL
2025-01-20,14150.00,INV2021,VAGUE VENDOR ONE
2025-01-19,8800.00,INV2022,GUPTA ENTERPRISES PVT LTD
2025-01-30,19750.00,INV2023,VAGUE VENDOR TWO
2025-01-24,12950.00,INV2024,MISC VENDOR
2025-02-02,6350.00,INV2025,SETTLEMENT VENDOR
2025-02-03,21550.00,INV2026,BATCH VENDOR JAN
2025-02-04,5450.00,INV2027,PO VENDOR
2025-02-05,17200.00,INV2028,REF VENDOR
2025-02-05,9950.00,INV2029,CALL VENDOR
2025-02-06,26400.00,INV2030,RAO CHEMICALS
2025-02-07,11250.00,INV2031,MISC VENDOR TWO
2025-02-08,16000.00,INV2032,SETTLEMENT VENDOR TWO
2025-02-09,7600.00,INV2033,BATCH VENDOR FEB
2025-02-10,40700.00,INV2034,REDDY SOFTWARE SOLN
2025-02-12,18042.08,INV2045,JOSHI FURNITURE
2025-02-13,3281.28,INV2038,IYER CONSULTING
2025-02-14,13765.26,INV2038,IYER CONSULTING
2025-01-05,13826.26,INV2001,KUMAR AND SONS
2025-01-06,22450.00,INV2002,GUPTA ENTERPRISES PVT LTD
2025-01-10,8999.00,INV2004,VERMA TEXTILE LTD
2025-01-12,31200.50,INV2005,RELIANCE DISTRIBUTORS
2025-01-15,4520.00,INV2006,SINGH HARDWARE
2025-01-18,20142.64,INV2009,NAIR ELECTRICALS AND CO
2025-01-20,3281.28,INV2010,IYER CONSULTING
2025-01-22,17650.00,INV2011,BOSE STATIONERY
2025-01-25,29900.00,INV2012,DAS FREIGHT
2025-01-28,3141.05,INV2013,RAO CHEMICALS
2025-01-30,13765.26,INV2014,JOSHI FURNITURE
